Scientific Name,Abbreviation,Wikidata ID
Abies alba,Aa,Q146992
Abies balsamea,Ab,
Abies borisii-regis,Ab,Q149327
Abies cephalonica,Ac,Q854892
Abies grandis,Ag,
Abies sachalinensis,As,Q1520125
Acacia caven,Ac,Q3299543
Acacia nuperrima,An,Q9567461
Acalypha segetalis,As,Q9575325
Acer yangbiense,Ay,
Achillea abrotanoides,Aa,Q14946568
Achillea ageratum,Aa,Q285796
Achillea alexandri-regis,Aa,Q15585589
Achillea atrata,Aa,Q362318
Achillea biebersteinii,Ab,Q15260715
Achillea chrysocoma,Ac,Q15585914
Achillea clavennae,Ac,Q878976
Achillea clypeolata,Ac,Q15586366
Achillea coarctata,Ac,Q15583890
Achillea collina,Ac,Q15257146
Achillea crithmifolia,Ac,Q15586894
Achillea filipendulina,Af,Q383705
Achillea goniocephala,Ag,Q15584736
Achillea holosericea,Ah,Q15586077
Achillea lingulata,Al,Q15585943
Achillea millefolium,Am,Q25408
Achillea nobilis,An,Q1285422
Achillea oligocephala,Ao,Q12234011
Achillea pseudoaleppica,Ap,Q15585297
Achillea schischkinii,As,Q15585800
Achillea sieheana,As,Q15586950
Achillea stricta,As,Q38699594
Achillea talagonica,At,Q15587094
Achillea tenuifolia,At,Q15587699
Achillea vermicularis,Av,Q15590859
Acorus calamus,Ac,Q158008
Actinidia chinensis,Ac,Q163522
Aegilops tauschii,At,
Aeollanthus myrianthus,Am,Q15338739
Aeollanthus parvifolius,Ap,Q15339157
Aeollanthus pubescens,Ap,Q15339572
Aeollanthus suaveolens,As,Q15339026
Aframomum citratum,Ac,Q15317883
Aframomum corrorima,Ac,Q4689432
Aframomum exscapum,Ae,Q15318252
Aframomum letestuanum,Al,Q15318723
Aframomum melegueta,Am,Q1503476
Aframomum pruinosum,Ap,Q15318559
African blue,Ab,
Agastache foeniculum,Af,Q1264088
Ageratina havanensis,Ah,Q4692124
Ageratum conyzoides,Ac,Q1949712
Ajuga chamaecistus,Ac,Q15339458
Ajuga chamaepitys,Ac,Q158310
Alchemilla alpina,Aa,Q162477
Alkanna orientalis,Ao,Q12234590
Allamanda cathartica,Ac,Q1345632
Allium sativum,As,Q23400
Alococarpum erianthum,Ae,Q4734111
Aloysia gratissima,Ag,Q2421262
Aloysia triphylla,At,Q52626960
Alpinia calcarata,Ac,Q13111964
Alpinia galanga,Ag,Q402971
Alpinia laosensis,Al,Q55812799
Alpinia malaccensis,Am,Q8143524
Alpinia nutans,An,Q2249633
Alpinia purpurata,Ap,Q311172
Alpinia smithiae,As,Q15319876
Alpinia zerumbet,Az,Q2703227
Amaranthus hypochondriacus,Ah,
Amborella trichopoda,At,
Ambrosia artemisiifolia,Aa,Q682164
Ambrosia hispida,Ah,Q15584660
Ambrosia microcephala,Am,Q15583362
Ammodaucus leucotrichus,Al,Q15561134
Ammoides atlantica,Aa,Q15561305
Ammoides pusilla,Ap,Q15561387
Amyris elemifera,Ae,Q4749581
Anacardium humile,Ah,Q13853283
Anacardium occidentale,Ao,
Anacyclus pyrethrum,Ap,Q1855185
Ananas comosus,Ac,
Anaphalis contorta,Ac,Q11085386
Andaliman ,A,
Anemia tomentosa,At,Q17043137
Anethum graveolens,Ag,Q26686
Angelica acutiloba,Aa,Q4387987
Angelica archangelica,Aa,Q207745
Angelica glauca,Ag,Q15562184
Angelica sylvestris,As,Q958823
Aniba riparia,Ar,Q15612304
Aniba rosaeodora,Ar,Q2235214
Aniba terminalis,At,Q15603511
Annona cherimolia,Ac,Q50968899
Annona glabra,Ag,Q2353550
Annona montana,Am,Q311448
Annona reticulata,Ar,Q472653
Anthemis altissima,Aa,Q15570652
Anthemis carpatica,Ac,Q4771600
Anthemis tinctoria,At,Q925164
Anthocleista vogelii,Av,Q15607440
Anthriscus cerefolium,Ac,Q218462
Antirrhinum majus,Am,
Anvillea garcinii,Ag,Q6631840
Apostasia shenzhenica,As,
Aquilaria agallocha,Aa,Q50827286
Aquilaria crassna,Ac,
Aquilegia coerulea,Ac,
Arabidopsis halleri,Ah,
Arabidopsis lyrata,Al,
Arabidopsis thaliana,At,Q158695
Arabis alpina,Aa,
Arabis nemorensis,An,
Arachis hypogaea,Ah,
Argania spinosa,As,Q379746
Arnica montana,Am,Q207848
Artedia squamata,As,Q2494675
Artemisia absinthium,Aa,Q25686
Artemisia afra,Aa,Q2716370
Artemisia annua,Aa,Q1308044
Artemisia arborescens,Aa,Q309692
Artemisia armeniaca,Aa,Q15471012
Artemisia aucheri,Aa,Q38778328
Artemisia barrelieri,Ab,Q14947448
Artemisia caerulescens,Ac,Q15696794
Artemisia campestris,Ac,Q783863
Artemisia chamaemelifolia,Ac,Q13560518
Artemisia ciniformis,Ac,Q15469652
Artemisia copa,Ac,Q15470405
Artemisia deserti,Ad,Q15469526
Artemisia diffusa,Ad,Q12832366
Artemisia eriantha,Ae,Q9182669
Artemisia ferganensis,Af,Q15471687
Artemisia fragrans,Af,Q15475258
Artemisia gallica,Ag,Q21075108
Artemisia gmelinii,Ag,Q1532907
Artemisia gypsacea,Ag,Q15470655
Artemisia haussknechtii,Ah,Q15469794
Artemisia herba-alba,Ah,Q135698
Artemisia incana,Ai,Q15470920
Artemisia judaica,Aj,Q12198769
Artemisia kopetdaghensis,Ak,Q15471025
Artemisia maritima,Am,Q27978
Artemisia myriantha,Am,Q10933052
Artemisia nilagirica,An,Q10906604
Artemisia persica,Ap,Q10885014
Artemisia roxburghiana,Ar,Q15226807
Artemisia santolina,As,Q15477386
Artemisia scoparia,As,Q426647
Artemisia sieberi,As,Q28934733
Artemisia splendens,As,Q15471878
Artemisia stelleriana,As,Q2862331
Artemisia subdigitata,As,Q15472433
Artemisia verlotiorum,Av,Q3915744
Artemisia vulgaris,Av,Q26663
Asparagus officinalis,Ao,
Aspilia africana,Aa,Q15587293
Astartea leptophylla,Al,Q41776531
Aster ageratoides,Aa,Q2912230
Aster tataricus,At,
Astrodaucus orientalis,Ao,Q15475244
Astrodaucus persicus,Ap,Q15475249
Astydamia latifolia,Al,Q2006163
Atalantia buxifolia,Ab,
Atalantia roxburghiana,Ar,Q15389478
Athamanta sicula,As,Q15565672
Athamanta turbith,At,Q4813192
Athrotaxis cupressoides,Ac,Q245878
Athrotaxis selaginoides,As,Q944853
Austrian leopard's,Al,
Austrocedrus chilensis,Ac,Q12981787
Baccharis articulata,Ba,Q5716024
Baccharis coridifolia,Bc,Q5403824
Baccharis dracunculifolia,Bd,Q4838634
Baccharis elaeoides,Be,Q15590794
Baccharis halimifolia,Bh,Q948018
Baccharis linearis,Bl,Q4838645
Baccharis magellanica,Bm,Q44917693
Baccharis obovata,Bo,Q15590941
Baccharis racemosa,Br,Q15589731
Baccharis salicifolia,Bs,Q4838650
Baccharis tenella,Bt,Q38774116
Baccharis tricuneata,Bt,Q15545532
Backhousia citriodora,Bc,Q2708073
Backhousia enata,Be,Q15395189
Backhousia myrtifolia,Bm,Q4839673
Ballota aucheri,Ba,Q15345366
Barbarea vulgaris,Bv,
Barongia lophandra,Bl,Q15396422
Bauhinia ungulata,Bu,Q5723686
Becium grandiflorum,Bg,Q50984221
Berula erecta,Be,Q195416
Beta vulgaris,Bv,
Betula platyphylla,Bp,
Bidens alba,Ba,Q2901708
Bidens cernua,Bc,Q27501
Bidens gardneri,Bg,Q15591283
Bidens pilosa,Bp,Q814421
Bidens tripartita,Bt,Q673334
Bifora radians,Br,Q630904
Bixa orellana,Bo,Q147701
black cardamom,bc,Q1369048
Black raspberry,Br,
Blepharocalyx giganteus,Bg,Q50828147
Blepharocalyx salicifolius,Bs,Q5648537
Bocageopsis multiflora,Bm,Q15399148
Boechera stricta,Bs,
Boesenbergia pandurata,Bp,Q50829149
Bombycilaena erecta,Be,Q5731874
Bottle gourd,Bg,
Bowdichia virgilioides,Bv,Q10374652
Brachypodium distachyon,Bd,
Brachypodium hybridum,Bh,
Brachypodium stacei,Bs,
Brachypodium sylvaticum,Bs,
Brachystegia nigerica,Bn,Q1093517
Brassica campestris,Bc,
Brassica cretica,Bc,
Brassica napus,Bn,
Brassica oleracea,Bo,Q146212
Brassica rapa,Br,
breckland thyme,bt,Q147251
Bruguiera gymnorhiza,Bg,
Bryophyllum pinnatum,Bp,Q19849795
Bunium cylindricum,Bc,Q15566259
Bunium persicum,Bp,Q925373
Bupleurum bicaule,Bb,Q12848887
Bupleurum chinense,Bc,Q1031631
Bupleurum fruticosum,Bf,Q946581
Bupleurum gibraltarium,Bg,Q8253642
Bupleurum longicaule,Bl,Q15593691
Bupleurum malconense,Bm,Q15231626
Bupleurum marginatum,Bm,Q15231627
Bupleurum microcephalum,Bm,Q15231629
Bupleurum rigidum,Br,Q8253657
Bupleurum scorzonerifolium,Bs,Q15231634
Bupleurum smithii,Bs,Q11179174
Bupleurum wenchuanense,Bw,Q11137383
Bupleurum yinchowense,By,Q15239101
Bursera aromatica,Ba,Q5000600
Bursera hollickii,Bh,Q5000601
Bursera microphylla,Bm,Q2367282
Cachrys alpina,Ca,Q17132966
Cachrys ferulacea,Cf,Q3649373
Cachrys trifida,Ct,Q17133099
Caesalpinia violacea,Cv,Q15489888
Cajanus cajan,Cc,
Calamintha nepeta,Cn,Q164271
Calamintha tauricola,Ct,Q39071376
Calamintha vardarensis,Cv,Q39071915
Calendula officinalis,Co,Q145930
Callistemon acuminatus,Ca,Q15395266
Callistemon chisholmii,Cc,Q15395429
Callistemon citrinus,Cc,Q1028271
Callistemon comboynensis,Cc,Q5022779
Callistemon flavovirens,Cf,Q15395673
Callistemon formosus,Cf,Q15395755
Callistemon forresterae,Cf,Q15395859
Callistemon genofluvialis,Cg,Q15395945
Callistemon glaucus,Cg,Q954151
Callistemon kenmorrisonii,Ck,Q5022780
Callistemon linearifolius,Cl,Q5022776
Callistemon linearis,Cl,Q5022778
Callistemon macropunctatus,Cm,Q2934256
Callistemon montanus,Cm,Q5022781
Callistemon pachyphyllus,Cp,Q5022783
Callistemon pallidus,Cp,Q6811063
Callistemon pauciflorus,Cp,Q5022784
Callistemon pearsonii,Cp,Q5022785
Callistemon phoeniceus,Cp,Q5022786
Callistemon pinifolius,Cp,Q5022787
Callistemon pityoides,Cp,Q5022788
Callistemon polandii,Cp,Q15395415
Callistemon pungens,Cp,Q5022789
Callistemon recurvus,Cr,Q5022790
Callistemon rigidus,Cr,Q3460171
Callistemon salignus,Cs,Q5022796
Callistemon shiressii,Cs,Q15394976
Callistemon sieberi,Cs,Q13897352
Callistemon subulatus,Cs,Q5022792
Callistemon viminalis,Cv,Q2512308
Calycolpus australis,Ca,Q15395601
Calyptranthes microphylla,Cm,Q15395223
Calyptranthes sintenisii,Cs,Q15396522
Camellia brevistyla,Cb,
Camellia hiemalis,Ch,
Camellia sinensis,Cs,
Campomanesia adamantium,Ca,Q15396461
Campomanesia guaviroba,Cg,Q15396674
Campomanesia phaea,Cp,Q5028502
Campomanesia pubescens,Cp,Q8261233
Campomanesia sessiliflora,Cs,Q15396182
Campomanesia xanthocarpa,Cx,Q10989015
Cannabis sativa,Cs,Q26726
Capsella grandiflora,Cg,
Capsella rubella,Cr,
Capsicum annum,Ca,
Capsicum annuum,Ca,
Capsicum baccatum,Cb,
Capsicum chinense,Cc,
Carduus pycnocephalus,Cp,Q2700500
Carica papaya,Cp,Q34887
Carpinus fangiana,Cf,
Carum carvi,Cc,Q26811
Carum copticum,Cc,Q17133820
Carum graecum,Cg,Q15567640
Caryopteris odorata,Co,Q15246141
Cassinia laevis,Cl,Q15559963
Cassinia quinquefaria,Cq,Q15561038
Cassytha filiformis,Cf,Q2941329
Cassytha pubescens,Cp,Q5049527
Catharanthus roseus,Cr,
Cayratia japonica,Cj,Q1023841
Cedrela odorata,Co,Q163004
Centaurea aphrodisea,Ca,Q15562713
Centaurea athoa,Ca,Q15563733
Centaurea calcitrapa,Cc,Q1763537
Centaurea depressa,Cd,Q5059017
Centaurea hyalolepis,Ch,Q1053486
Centaurea iberica,Ci,Q1022250
Centaurea luschaniana,Cl,Q15567195
Centaurea paniculata,Cp,Q5760617
Centaurea polyclada,Cp,Q15568837
Centaurea rupestris,Cr,Q15427994
Centaurea solstitialis,Cs,Q2068262
Centaurea tossiensis,Ct,Q15572119
Centaurea wagenitzii,Cw,Q15573169
Centaurium erythraea,Ce,Q156870
Centratherum punctatum,Cp,Q15546599
Cephalotus follicularis,Cf,
Cerastium candidissimum,Cc,Q4539292
Cerasus yedoensis,Cy,
Chaerophyllum crinitum,Cc,Q15569617
Chaerophyllum macropodum,Cm,Q15569866
Chaerophyllum macrospermum,Cm,Q15570029
Chaerophyllum prescottii,Cp,Q11083819
Chamaecyparis lawsoniana,Cl,Q161360
Chamaemelum Nobile,CN,
Chamomilla recutita,Cr,Q50837010
Chenopodium ambrosioides,Ca,Q15251066
Chenopodium quinoa,Cq,
Chinese Wedelia,CW,Q13423518
Chrysopogon aucheri,Ca,Q15512750
Chrysopogon zizanioides,Cz,Q378568
Chrysothamnus nauseosus,Cn,Q15629521
Chrysothamnus pulchellus,Cp,Q15595009
Chukrasia tabularis,Ct,Q12701073
Cicer arietinum,Ca,Q81375
Cicer reticulatum,Cr,
Cichorium intybus,Ci,
Cinnamomum angustifolium,Ca,Q15603772
Cinnamomum aureofulvum,Ca,Q15604943
Cinnamomum durifolium,Cd,Q18074967
Cinnamomum iners,Ci,Q10933978
Cinnamomum magnificum,Cm,Q18081794
Cinnamomum micranthum,Cm,
Cinnamomum montanum,Cm,Q15606439
Cinnamomum sericans,Cs,Q15607097
Cinnamomum tenuipile,Ct,
Cinnamomum verum,Cv,
Cinnamomum zeylanicum,Cz,Q12892282
Cinnamosma fragrans,Cf,Q17243958
Cirsium japonicum,Cj,Q5708539
Cistus creticus,Cc,
Cistus monspeliensis,Cm,Q1414643
Citrofortunella microcarpa,Cm,
Citrullus lanatus,Cl,Q17507129
Citrus aurantium,Ca,
Citrus australasica,Ca,Q141953
Citrus clementina,Cc,
Citrus japonica,Cj,
Citrus junos,Cj,
Citrus limon,Cl,
Citrus maxima,Cm,Q80024
Citrus medica,Cm,
Citrus reticulata,Cr,
Citrus sinensis,Cs,
Citrus unshiu,Cu,Q875262
Clarkia breweri,Cb,
Cleome coluteoides,Cc,Q15516860
Clinopodium brownei,Cb,Q4256977
Clinopodium menthifolium,Cm,Q198339
Clinopodium thymifolium,Ct,Q15312233
Clusia nemorosa,Cn,Q15353965
Coatesia paniculata,Cp,Q18076143
Coespeletia spicata,Cs,Q15548660
Coespeletia thyrsiformis,Ct,Q15548673
Coffea arabica,Ca,
Coffea canephora,Cc,
Coleus aromaticus,Ca,Q26085085
Colquhounia coccinea,Cc,Q11153450
Commiphora myrrha,Cm,Q164609
Conyza albida,Ca,Q14905792
Conyza bonariensis,Cb,Q2453589
Conyza canadensis,Cc,Q794305
Copaifera langsdorffii,Cl,Q311446
Copaifera reticulata,Cr,Q15529789
Corchorus capsularis,Cc,
Corchorus olitorius,Co,
Cordia leucocephala,Cl,Q15578124
Coriandrum sativum,Cs,Q41611
Coridothymus capitatus,Cc,Q28935003
Corn mint,Cm,Q160585
Corymbia citriodora,Cc,Q2549523
Cosmos sulphureus,Cs,Q1209998
Couroupita guianensis,Cg,Q161823
Craniotome furcata,Cf,Q15229414
Crassocephalum biafrae,Cb,Q5182504
Crassocephalum bougheyanum,Cb,Q5182506
Crassocephalum crepidioides,Cc,Q1027615
Crassocephalum mannii,Cm,Q43292503
Crassocephalum montuosum,Cm,Q15563380
Crassocephalum rubens,Cr,Q5182508
Crinum latifolium,Cl,Q3013446
Crithmum maritimum,Cm,Q1136311
Croton cajucara,Cc,Q3004060
Croton campestris,Cc,Q3004074
Croton flavens,Cf,Q3004324
Croton jimenezii,Cj,Q3004531
Croton oligandrus,Co,Q3004848
Croton sacaquinha,Cs,Q3005085
Croton sonderianus,Cs,Q3005165
Croton zehntneri,Cz,Q3005418
Cucumber sativus,Cs,
Cucumis melo,Cm,
Cucumis sativus,Cs,
Cucurbita maxima,Cm,
Cucurbita moschata,Cm,
Cucurbita pepo,Cp,
Cunila angustifolia,Ca,Q15313874
Cunila galioides,Cg,Q15313900
Cunila spicata,Cs,Q15314250
Cupressus arizonica,Ca,Q670040
Cupressus atlantica,Ca,Q20731329
Cupressus cashmeriana,Cc,Q917216
Cupressus chengiana,Cc,Q138044
Cupressus duclouxiana,Cd,Q138085
Cupressus funebris,Cf,Q149709
Cupressus guadalupensis,Cg,Q1552597
Cupressus macnabiana,Cm,Q1144379
Cupressus macrocarpa,Cm,Q1137183
Cupressus sempervirens,Cs,Q147513
Cupressus tonkinensis,Ct,Q17165436
Cupressus torulosa,Ct,Q1619002
Curcuma aeruginosa,Ca,Q3517919
Curcuma angustifolia,Ca,Q3596013
Curcuma haritha,Ch,Q15327013
Curcuma leucorrhiza,Cl,Q15326336
Curcuma longa,Cl,Q42562
Cuscuta australis,Ca,
Cyclotrichium leucotrichum,Cl,Q15314243
Cyclotrichium straussii,Cs,Q15314023
Cymbocarpum wiedemannii,Cw,Q15570317
Cymbopogon afronardus,Ca,Q50832830
Cymbopogon citratus,Cc,Q33913
Cymbopogon distans,Cd,Q15514822
Cymbopogon flexuosus,Cf,Q6331754
Cymbopogon giganteus,Cg,Q15515143
Cymbopogon martinii,Cm,Q2671107
Cymbopogon microstachys,Cm,Q15245750
Cymbopogon proximus,Cp,Q5199493
Cymbopogon winterianus,Cw,Q11107842
Cynara cardunculus,Cc,Q7186137
Cyperus esculentus,Ce,Q1165724
Cyperus maculatus,Cm,Q15533332
Cyperus rotundus,Cr,Q1391422
Daphnandra apatela,Da,Q5221582
Daphnandra johnsonii,Dj,Q5221584
Daphnandra melasmena,Dm,Q5221583
Daphnandra micrantha,Dm,Q5221586
Daphnandra repandula,Dr,Q15540008
Daphnandra tenuipes,Dt,Q5221587
Daucus carota,Dc,Q30056
Daucus littoralis,Dl,Q12205358
Decaspermum humile,Dh,Q5248751
Decaspermum struckoilicum,Ds,Q15395874
Dendrobium catenatum,Dc,
Dennettia tripetala,Dt,Q8469603
Desmos goezeanus,Dg,Q15355389
Desmos wardianus,Dw,Q15355465
Dianthus caryophyllus,Dc,
Dichanthelium oligosanthes,Do,
Dictamnus albus,Da,Q157755
Dicyclophora persica,Dp,Q15571864
Diospyros blancoi,Db,Q571266
Diplotaenia cachrydifolia,Dc,Q15571860
Dipteryx odorata,Do,Q901484
Dittrichia graveolens,Dg,Q311840
Dorcoceras hygrometricum,Dh,
Dracocephalum aucheri,Da,Q15317580
Dracocephalum kotschyi,Dk,Q15317556
Dracocephalum moldavica,Dm,Q163045
Dracocephalum speciosum,Ds,Q21256159
Drimys brasiliensis,Db,Q17246744
Dryopteris crassirhizoma,Dc,
Ducrosia anethifolia,Da,Q12207377
Ducrosia assadii,Da,Q15572055
Echinacea purpurea,Ep,Q272661
Echinophora carvifolia,Ec,Q15572960
Echinophora cinerea,Ec,Q15573192
Echinophora lamondiana,El,Q15573332
Echinophora orientalis,Eo,Q15573438
Echinophora platyloba,Ep,Q15573521
Echinophora tenuifolia,Et,Q12843181
Echinophora tournefortii,Et,Q15572132
Echinophora trichophylla,Et,Q15572230
Echinops graecus,Eg,Q12233808
Elettariopsis elan,Ee,Q15327478
Elsholtzia blanda,Eb,Q10925060
Elsholtzia ciliata,Ec,Q1357371
Elsholtzia densa,Ed,Q4531529
Elsholtzia fruticosa,Ef,Q11174323
Ensete glaucum,Eg,
Ensete ventricosum,Ev,
Eragrostis curvula,Ec,
Erechtites hieracifolia,Eh,15588334
Eremostachys adenantha,Ea,Q15320237
Eremostachys macrophylla,Em,Q12849139
Erica manipuliflora,Em,Q3731564
Erigeron acris,Ea,Q2140433
Erigeron annuus,Ea,Q849411
Erigeron floribundus,Ef,Q10933067
Eryngium billardieri,Eb,Q15573657
Eryngium bungei,Eb,Q15575051
Eryngium caeruleum,Ec,Q17139254
Eryngium expansum,Ee,Q15575687
Eryngium foetidum,Ef,Q1146782
Eryngium palmatum,Ep,Q15576105
Eryngium paludosum,Ep,Q15576610
Eryngium pandanifolium,Ep,Q5837281
Eryngium paniculatum,Ep,Q8777465
Eryngium rostratum,Er,Q15575938
Eryngium serbicum,Es,Q15576828
Eryngium vesiculosum,Ev,Q15578150
Erythranthe guttata,Eg,
Eschweilera coriacea,Ec,Q10327268
Espeletia batata,Eb,Q15594814
Eucalyptus alba,Ea,Q717857
Eucalyptus albens,Ea,Q2559087
Eucalyptus blakelyi,Eb,Q2069230
Eucalyptus camaldulensis,Ec,Q162822
Eucalyptus citriodora,Ec,Q24852935
Eucalyptus cladocalyx,Ec,Q5405566
Eucalyptus crucis,Ec,Q15396352
Eucalyptus dalrympleana,Ed,Q159839
Eucalyptus dealbata,Ed,Q4529684
Eucalyptus deanei,Ed,Q2068758
Eucalyptus decaisneana,Ed,Q65938274
Eucalyptus deglupta,Ed,Q2704355
Eucalyptus dives,Ed,Q2559069
Eucalyptus dura,Ed,Q15397379
Eucalyptus gigantangion,Eg,Q15401138
Eucalyptus globulus,Eg,Q159528
Eucalyptus grandis,Eg,Q482510
Eucalyptus gunnii,Eg,Q163788
Eucalyptus houseana,Eh,Q15399959
Eucalyptus kingsmillii,Ek,Q15396813
Eucalyptus kruseana,Ek,Q3017657
Eucalyptus largiflorens,El,Q2710313
Eucalyptus leucoxylon,El,Q161468
Eucalyptus macrocarpa,Em,Q2712369
Eucalyptus maculata,Em,Q24852937
Eucalyptus microcorys,Em,Q3011274
Eucalyptus microtheca,Em,Q928175
Eucalyptus miniata,Em,Q2713279
Eucalyptus nesophila,En,Q39276129
Eucalyptus nitens,En,Q2512644
Eucalyptus orbifolia,Eo,Q5405659
Eucalyptus ovata,Eo,Q955858
Eucalyptus polycarpa,Ep,Q39276663
Eucalyptus propinqua,Ep,Q5405682
Eucalyptus punctata,Ep,Q5405694
Eucalyptus radiata,Er,Q2664982
Eucalyptus raveretiana,Er,Q7213025
Eucalyptus robusta,Er,Q3280527
Eucalyptus saligna,Es,Q2837067
Eucalyptus sideroxylon,Es,Q2667019
Eucalyptus tereticornis,Et,Q3006305
Eucalyptus torelliana,Et,Q11126589
Eucalyptus urophylla,Eu,Q5405723
Eucalyptus viminalis,Ev,Q2137116
Eugenia acapulcensis,Ea,Q6433663
Eugenia arenosa,Ea,Q15357798
Eugenia argentea,Ea,Q15357846
Eugenia axillaris,Ea,Q15357825
Eugenia bacopari,Eb,Q15357913
Eugenia brasiliensis,Eb,Q311085
Eugenia burkartiana,Eb,Q15358159
Eugenia catharinensis,Ec,Q15358514
Eugenia chlorophylla,Ec,Q15358869
Eugenia copacabanensis,Ec,Q15358710
Eugenia cuprea,Ec,Q15359338
Eugenia dimorpha,Ed,Q15359409
Eugenia dysenterica,Ed,Q291005
Eugenia florida,Ef,Q15359859
Eugenia foetida,Ef,Q3953968
Eugenia hiemalis,Eh,Q17594566
Eugenia joenssonii,Ej,Q15361349
Eugenia mansoi,Em,Q15362008
Eugenia mattosii,Em,Q15361796
Eugenia melanadenia,Em,Q15362211
Eugenia moraviana,Em,Q15362057
Eugenia multicostata,Em,Q15362532
Eugenia octopleura,Eo,Q15363728
Eugenia pitanga,Ep,Q10923785
Eugenia platysema,Ep,Q15363489
Eugenia pluriflora,Ep,Q15363801
Eugenia punicifolia,Ep,Q15364786
Eugenia pyriformis,Ep,Q15363997
Eugenia ramboi,Er,Q15365082
Eugenia repanda,Er,Q15364374
Eugenia rhombea,Er,Q6433682
Eugenia rocana,Er,Q15365542
Eugenia rottleriana,Er,Q5226189
Eugenia speciosa,Es,Q15365765
Eugenia stigmatosa,Es,Q15366140
Eugenia stipitata,Es,Q2347464
Eugenia sulcata,Es,Q15365741
Eugenia umbelliflora,Eu,Q15366299
Eugenia uruguayensis,Eu,Q5850408
Eugenia xiriricana,Ex,Q15366325
Eupatorium cannabinum,Ec,Q744339
Eupatorium capillifolium,Ec,Q5409948
Eupatorium coelestinum,Ec,Q15531151
Eupatorium triplinerve,Et,Q38710079
Eutrema salsugineum,Es,
Falcaria falcarioides,Ff,Q17139303
Feijoa sellowiana,Fs,Q499671
Feroniella lucida,Fl,Q15393006
Ferula assa-foetida,Fa,Q111185
Ferula communis,Fc,Q150411
Ferula galbaniflua,Fg,Q17139625
Ferula glauca,Fg,Q21874253
Ferula gummosa,Fg,Q4483170
Ferula hirtella,Fh,Q17140046
Ferula macrocolea,Fm,Q15578683
Ferula microcolea,Fm,Q15579315
Ferula ovina,Fo,Q15231690
Ferula szowitsiana,Fs,Q21269377
Ferulago angulata,Fa,Q15579973
Ferulago carduchorum,Fc,Q17132013
Ferulago confusa,Fc,Q17131840
Ferulago contracta,Fc,Q15580468
Ferulago longistylis,Fl,Q17132069
Ferulago phialocarpa,Fp,Q15581125
Ficus benjamina,Fb,Q275160
Fimbristylis falcata,Ff,Q15584952
Fitzroya cupressoides,Fc,Q847304
Flaveria linearis,Fl,Q15596900
Flourensia cernua,Fc,Q5462023
Foeniculum vulgare,Fv,Q43511
Fortunella hindsii,Fh,
Fragaria ananassa,Fa,
Fragaria vesca,Fv,Q146684
Fritillaria eduardii,Fe,
Fritillaria imperialis,Fi,Q161939
Fritillaria raddeana,Fr,Q243946
Froriepia subpinnata,Fs,Q15582736
Fuernrohria setifolia,Fs,Q15580544
Galatella biflora,Gb,Q24850685
Geigeria alata,Ga,Q15548355
Geijera linearifolia,Gl,Q15391144
Geijera parviflora,Gp,Q596715
Geijera salicifolia,Gs,Q5433206
Genipa americana,Ga,Q1353278
Genlisea aurea,Ga,
Geranium macrorrhizum,Gm,Q805037
Geranium phaeum,Gp,Q158542
Ginkgo biloba,Gb,
Glechoma hederacea,Gh,Q162544
Glechoma sardoa,Gs,Q15324542
Glycine max,Gm,
Glycine soja,Gs,
Glycosmis pentaphylla,Gp,Q11045138
Glycyrrhiza glabra,Gg,
Gmelina arborea,Ga,Q311345
Goniothalamus macrophyllus,Gm,Q15359101
Gossypium arboreum,Ga,
Gossypium australe,Ga,
Gossypium barbadense,Gb,
Gossypium hirsutum,Gh,
Gossypium mustelinum,Gm,
Gossypium raimondii,Gr,
Grindelia robusta,Gr,Q5609419
Grindelia squarrosa,Gs,Q312228
Guarea macrophylla,Gm,Q10292517
Guavaberry ,G,
Gutierrezia mandonii,Gm,Q15553592
Gutierrezia repens,Gr,Q15553211
Gymnopodium floribundum,Gf,Q15594316
Gyrocarpus americanus,Ga,Q5625456
Handroanthus impetiginosus,Hi,
Haplophyllum tuberculatum,Ht,Q5892134
Hedeoma mandoniana,Hm,Q15327799
Hedeoma multiflora,Hm,Q15327287
Hedychium coccineum,Hc,Q3926743
Hedychium coronarium,Hc,Q1994229
Hedychium flavescens,Hf,Q3926753
Hedychium gardnerianum,Hg,Q3142116
Hedychium larsenii,Hl,Q15329023
Helenium argentinum,Ha,Q15559333
Helianthus annuus,Ha,
Helichrysum amorginum,Ha,Q21267098
Helichrysum arenarium,Ha,Q27984
Helichrysum bracteiferum,Hb,Q15577487
Helichrysum faradifani,Hf,Q15579564
Helichrysum forskahlii,Hf,Q15581886
Helichrysum hypnoides,Hh,Q15580315
Helichrysum italicum,Hi,Q1587861
Helichrysum leucocephalum,Hl,Q15582806
Helichrysum melaleucum,Hm,Q15580369
Helichrysum stoechas,Hs,Q1636806
Hemidesmus indicus,Hi,Q15356241
Heracleum argaeum,Ha,Q17137156
Heracleum candolleanum,Hc,Q17137201
Heracleum crenatifolium,Hc,Q17137251
Heracleum paphlagonicum,Hp,Q17137553
Heracleum persicum,Hp,Q1418112
Heracleum platytaenium,Hp,Q17137783
Heracleum sphondylium,Hs,Q752675
Hernandia albiflora,Ha,Q15432819
Hernandia bivalvis,Hb,Q18083670
Hernandia nymphaeifolia,Hn,Q5456067
Herniaria incana,Hi,Q163330
Hesperis bicuspidata,Hb,Q15546890
