strain	Camphene	Carene	beta_Caryophyllene	D-Limonene	Eucalyptol	Fenchol	Fenchone	Guaiol	alpha_Humulene	Linalool	Terpinolene	Valencene	alpha-Bisabolol	alpha-Cedrene	alpha-Farnesene	alpha-Phellandrene	alpha-Pinene	alpha-Terpinene	alpha-Terpineol	beta-Farnesene	beta-Myrcene	beta-Ocimene	beta-Pinene	cis-Nerolidol	cis-Ocimene	endo-Borneol	gamma-Terpinene	trans-Nerolidol
163	0.001166	0	0.047862919999999996	0.030494	0	0.00523566	0	0	0.0126822	0.028215	0.00177551	0	0.0154723	0.00556502	0	0	0.00338823	0	0.00878289	0	0.370668	0	0.00719288	0.00809389	0.0138823	0	0	0.00537952
164	0.009613169999999999	0	0.62310125	0.3775795	0	0.023950100000000002	0.006381090000000001	0.05474985	0.19673800000000002	0.0604243	0.009392185	0	0.003780685	0.00247447	0.291092	0	0.053376400000000004	0	0.0125988	0.4008935	0.21969149999999998	0.10387025	0.0677964	0.011903575	0	0.0015703499999999999	0	0.00576079
165	0.00689775	0	0.13948341	0.241456	0.00657365	0.0277684	0.00421646	0.0542061	0.0669125	0.00621886	0.00472314	0	0.0352458	0	0.318287	0	0.0275328	0	0.020061	0.40332	0.888042	0	0.0512665	0.00557385	0	0.0126673	0.00115049	0.00908471
166	0.00614586	0	0.0958218	0.147691	0	0.035633	0	0	0.0330706	0.056538	0	0	0	0	0.129942	0	0.114425	0	0.0429147	0.0566528	0.20291	0.0570996	0.0618625	0	0	0.00916982	0	0
167	0.00509261	0	0.039391	0.0465776	0.00245744	0.00567166	0	0.0251698	0.0120772	0.00548784	0	0	0.022986	0	0.00289383	0	0.186703	0	0	0	0.710784	0.185626	0.0555519	0.00267633	0	9.34051e-4	0	0
168	0.00259099	0	0.03750774	0.0377791	0.00323257	0.00755089	2.79663e-4	0	0.0155747	0.00676537	7.89636e-4	0	0.0102077	0.00355747	0	0	0.0897676	0	0.0079087	0	0.294074	0	0.0321653	0.00750565	0.0326054	7.89636e-4	0	0.0107506
169	0.00458096	0.0368354	0.4781696	0.124807	0.00566681	0.0134991	0.00140614	0	0.237286	0.0204382	0.688938	0	0.00333007	0.0030774	0.32869	0.0418359	0.0770436	0.0181317	0.0157077	0.313375	0.212665	0.313154	0.1125	0.0061810500000000004	0	0.00168817	0.0122478	0.00728292
170	0.00573063	0.05272	0.219343	0.0973097	0.0100149	0.0142095	0.0025739	0	0.0648269	0.0093538	0.708286	0	0.00930131	0.00121664	0.109028	0.0458188	0.10959	0.0160768	0.0153087	0.0409354	0.172254	0.0718876	0.16231400000000001	0	0	0.00146026	0.0164833	0
171	0.0142468	0	0.174584	0.349037	0	0.0462488	0.00543891	0	0.0459009	0.084969	0	0	0	0	0.0116094	0	0.040515	0	0	0	0.188057	0	0.0670895	0.00668203	0	0	0	0
172	0.0504147	0	0.5829961	1.90486	0	0.366131	0	0	0.17783	0.366943	0.0131689	0.0480175	0.0612108	0.0938513	0	0	0.201431	4.86439e-4	0.276269	0	1.50509	0	0.390247	0.0221417	0.00113036	0.0160245	0.00103587	0.00490289
173	0.00818666	0	0.32562414	0.21228	0.0124519	0.0458494	0	0	0.14984	0.0540729	0.00352026	0.00953336	0.0165289	0.055133	0	0	0.0264675	0	0.0324724	0	0.112616	0	0.0452804	0.0145722	6.99959e-4	0.00182972	0	0.00555055
174	0	0	0.23498436	0.438174	0	0.0334994	0	0.016892	0.0868449	0.0502771	0.00955447	0	0.0587306	0	0.0462449	0	0.0402412	0	0.0442053	0.062536	0.10661	0.00127268	0.0351341	0	0	0.00969069	0.00349102	0.00561745
